model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,p_at_50_mean,p_at_50_std
logreg,0.104,0.143,0.516,0.371,0.131,0.158,0.653,0.185,0.163,0.185,0.144,0.208
majority,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.091,0.144,0.065,0.112
random_forest,0.104,0.247,0.029,0.083,0.032,0.081,0.714,0.2,0.194,0.249,0.166,0.262
vocab_xgboost,0.15,0.256,0.137,0.253,0.106,0.202,0.672,0.207,0.183,0.232,0.131,0.185
xgboost,0.133,0.253,0.088,0.156,0.065,0.117,0.671,0.189,0.166,0.221,0.142,0.236
