model,project,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision
majority,okhttp,1,0.0,0.0,0.0,0.2,162,20,0.12345679012345678,0.5,0.12345679012345678
majority,okhttp,2,0.0,0.0,0.0,0.26,162,20,0.12345679012345678,0.5,0.12345679012345678
majority,okhttp,3,0.0,0.0,0.0,0.12,162,20,0.12345679012345678,0.5,0.12345679012345678
majority,okhttp,4,0.0,0.0,0.0,0.2,162,20,0.12345679012345678,0.5,0.12345679012345678
majority,spring-boot,0,0.0,0.0,0.0,0.04,426,33,0.07746478873239436,0.5,0.07746478873239436
majority,spring-boot,1,0.0,0.0,0.0,0.12,426,33,0.07746478873239436,0.5,0.07746478873239436
majority,spring-boot,2,0.0,0.0,0.0,0.04,425,32,0.07529411764705882,0.5,0.07529411764705882
majority,spring-boot,3,0.0,0.0,0.0,0.12,425,32,0.07529411764705882,0.5,0.07529411764705882
majority,spring-boot,4,0.0,0.0,0.0,0.14,425,33,0.07764705882352942,0.5,0.07764705882352942
majority,wildfly,0,0.0,0.0,0.0,0.06,248,5,0.020161290322580645,0.5,0.020161290322580645
majority,wildfly,1,0.0,0.0,0.0,0.0,247,4,0.016194331983805668,0.5,0.016194331983805668
majority,wildfly,2,0.0,0.0,0.0,0.02,247,4,0.016194331983805668,0.5,0.016194331983805668
majority,wildfly,3,0.0,0.0,0.0,0.02,247,5,0.020242914979757085,0.5,0.020242914979757085
majority,wildfly,4,0.0,0.0,0.0,0.04,247,5,0.020242914979757085,0.5,0.020242914979757085
majority,wro4j,0,0.0,0.0,0.0,0.0,229,3,0.013100436681222707,0.5,0.013100436681222707
majority,wro4j,1,0.0,0.0,0.0,0.02,229,3,0.013100436681222707,0.5,0.013100436681222707
majority,wro4j,2,0.0,0.0,0.0,0.02,229,3,0.013100436681222707,0.5,0.013100436681222707
majority,wro4j,3,0.0,0.0,0.0,0.0,229,3,0.013100436681222707,0.5,0.013100436681222707
majority,wro4j,4,0.0,0.0,0.0,0.02,229,4,0.017467248908296942,0.5,0.017467248908296942
logreg,activiti,0,0.047244094488188976,1.0,0.09022556390977443,0.12,409,6,0.014669926650366748,0.9478908188585607,0.15984468339307048
logreg,activiti,1,0.03225806451612903,0.5,0.06060606060606061,0.02,409,6,0.014669926650366748,0.7109181141439206,0.03171894632215349
logreg,activiti,2,0.021052631578947368,0.2857142857142857,0.0392156862745098,0.04,409,7,0.017114914425427872,0.6574271499644634,0.03428340223653483
logreg,activiti,3,0.049019607843137254,0.7142857142857143,0.09174311926605505,0.08,409,7,0.017114914425427872,0.7903340440653873,0.20968493668453927
logreg,activiti,4,0.031578947368421054,0.5,0.0594059405940594,0.06,408,6,0.014705882352941176,0.7201492537313434,0.07039226490663346
logreg,alluxio,0,1.0,1.0,1.0,0.6052631578947368,38,23,0.6052631578947368,1.0,0.9999999999999998
logreg,alluxio,1,1.0,1.0,1.0,0.631578947368421,38,24,0.631578947368421,1.0,0.9999999999999998
logreg,alluxio,2,1.0,1.0,1.0,0.6216216216216216,37,23,0.6216216216216216,1.0,0.9999999999999999
logreg,alluxio,3,1.0,1.0,1.0,0.6216216216216216,37,23,0.6216216216216216,1.0,0.9999999999999999
logreg,alluxio,4,1.0,1.0,1.0,0.6216216216216216,37,23,0.6216216216216216,1.0,0.9999999999999999
logreg,ambari,0,0.5263157894736842,1.0,0.6896551724137931,0.2,65,10,0.15384615384615385,0.98,0.9016991341991342
logreg,ambari,1,0.9,0.9,0.9,0.2,65,10,0.15384615384615385,0.9672727272727273,0.927037037037037
logreg,ambari,2,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.22,65,11,0.16923076923076924,0.9713804713804713,0.9448051948051948
logreg,ambari,3,0.6923076923076923,0.8181818181818182,0.75,0.2,65,11,0.16923076923076924,0.8619528619528619,0.6487484911466103
logreg,ambari,4,0.7692307692307693,1.0,0.8695652173913043,0.2,64,10,0.15625,0.9814814814814815,0.8973595848595848
logreg,hbase,0,0.7272727272727273,0.8275862068965517,0.7741935483870968,0.54,87,29,0.3333333333333333,0.8775267538644471,0.8075135405418854
logreg,hbase,1,0.75,0.8275862068965517,0.7868852459016393,0.58,86,29,0.3372093023255814,0.926799758015729,0.8791286079122882
logreg,hbase,2,0.8148148148148148,0.7586206896551724,0.7857142857142857,0.54,86,29,0.3372093023255814,0.8850574712643678,0.8158035685361922
logreg,hbase,3,0.8518518518518519,0.7931034482758621,0.8214285714285714,0.52,86,29,0.3372093023255814,0.8905021173623714,0.8055390592806352
logreg,hbase,4,0.8387096774193549,0.896551724137931,0.8666666666666667,0.58,86,29,0.3372093023255814,0.9340592861464004,0.8001225363251625
logreg,hector,0,0.5833333333333334,1.0,0.7368421052631579,0.2413793103448276,29,7,0.2413793103448276,0.9805194805194805,0.947845804988662
logreg,hector,1,0.6666666666666666,0.8571428571428571,0.75,0.2413793103448276,29,7,0.2413793103448276,0.948051948051948,0.8395485466914037
logreg,hector,2,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.21428571428571427,28,6,0.21428571428571427,0.9318181818181818,0.7958333333333333
logreg,hector,3,0.75,1.0,0.8571428571428571,0.21428571428571427,28,6,0.21428571428571427,0.962121212121212,0.8555555555555555
logreg,hector,4,0.8,0.5714285714285714,0.6666666666666666,0.25,28,7,0.25,0.870748299319728,0.7940940012368582
logreg,http-request,0,0.4,1.0,0.5714285714285714,0.12121212121212122,33,4,0.12121212121212122,0.9913793103448276,0.95
logreg,http-request,1,0.25,0.5,0.3333333333333333,0.12121212121212122,33,4,0.12121212121212122,0.8017241379310345,0.5109649122807017
logreg,http-request,2,0.375,0.75,0.5,0.12121212121212122,33,4,0.12121212121212122,0.8879310344827587,0.48541666666666666
logreg,http-request,3,0.5,1.0,0.6666666666666666,0.09375,32,3,0.09375,1.0,1.0
logreg,http-request,4,0.5,1.0,0.6666666666666666,0.09375,32,3,0.09375,0.9425287356321839,0.6666666666666667
logreg,httpcore,0,0.5,1.0,0.6666666666666666,0.1,143,5,0.03496503496503497,0.9869565217391304,0.6783333333333332
logreg,httpcore,1,0.23076923076923078,0.6,0.3333333333333333,0.1,143,5,0.03496503496503497,0.9405797101449275,0.27825396825396825
logreg,httpcore,2,0.21428571428571427,0.75,0.3333333333333333,0.08,142,4,0.028169014084507043,0.9202898550724637,0.5470653377630121
logreg,httpcore,3,0.25,1.0,0.4,0.08,142,4,0.028169014084507043,0.9692028985507246,0.5488095238095239
logreg,httpcore,4,0.4,1.0,0.5714285714285714,0.08,142,4,0.028169014084507043,0.983695652173913,0.6488095238095238
logreg,incubator-dubbo,0,0.11538461538461539,0.75,0.2,0.06,436,4,0.009174311926605505,0.8981481481481483,0.2304565353345841
logreg,incubator-dubbo,1,0.06451612903225806,0.6666666666666666,0.11764705882352941,0.04,435,3,0.006896551724137931,0.6697530864197531,0.08392050587172538
logreg,incubator-dubbo,2,0.06666666666666667,0.5,0.11764705882352941,0.04,435,4,0.009195402298850575,0.814385150812065,0.06324426010289885
logreg,incubator-dubbo,3,0.06976744186046512,0.75,0.1276595744680851,0.06,435,4,0.009195402298850575,0.9089327146171693,0.15179713332085593
logreg,incubator-dubbo,4,0.08823529411764706,0.75,0.15789473684210525,0.06,435,4,0.009195402298850575,0.91415313225058,0.07081280788177341
logreg,java-websocket,0,0.4,1.0,0.5714285714285714,0.13793103448275862,29,4,0.13793103448275862,0.9500000000000001,0.8611111111111112
logreg,java-websocket,1,0.375,0.75,0.5,0.13793103448275862,29,4,0.13793103448275862,0.9199999999999999,0.8333333333333333
logreg,java-websocket,2,0.5,0.8,0.6153846153846154,0.1724137931034483,29,5,0.1724137931034483,0.9666666666666667,0.911111111111111
logreg,java-websocket,3,0.5,1.0,0.6666666666666666,0.1724137931034483,29,5,0.1724137931034483,1.0,1.0
logreg,java-websocket,4,0.8333333333333334,1.0,0.9090909090909091,0.1724137931034483,29,5,0.1724137931034483,0.9916666666666667,0.9666666666666666
logreg,logback,0,0.037037037037037035,0.25,0.06451612903225806,0.04,169,4,0.023668639053254437,0.4075757575757576,0.03128258135379082
logreg,logback,1,0.15151515151515152,1.0,0.2631578947368421,0.1,169,5,0.029585798816568046,0.9317073170731709,0.2224167946748592
logreg,logback,2,0.045454545454545456,0.2,0.07407407407407407,0.02,169,5,0.029585798816568046,0.27804878048780485,0.046801439620793334
logreg,logback,3,0.0,0.0,0.0,0.06,168,4,0.023809523809523808,0.6143292682926829,0.04433096415855037
logreg,logback,4,0.05555555555555555,0.5,0.1,0.04,168,4,0.023809523809523808,0.663109756097561,0.3242667356797792
logreg,okhttp,0,0.24193548387096775,0.75,0.36585365853658536,0.3,162,20,0.12345679012345678,0.7897887323943661,0.3671840650240937
logreg,okhttp,1,0.22535211267605634,0.8,0.3516483516483517,0.2,162,20,0.12345679012345678,0.7165492957746479,0.23845632485836327
logreg,okhttp,2,0.22058823529411764,0.75,0.3409090909090909,0.22,162,20,0.12345679012345678,0.7137323943661972,0.23212768851840698
logreg,okhttp,3,0.1746031746031746,0.55,0.26506024096385544,0.2,162,20,0.12345679012345678,0.6950704225352113,0.2283822554271065
logreg,okhttp,4,0.19672131147540983,0.6,0.2962962962962963,0.18,162,20,0.12345679012345678,0.6626760563380282,0.2804653232904207
logreg,spring-boot,0,0.41935483870967744,0.7878787878787878,0.5473684210526316,0.52,426,33,0.07746478873239436,0.8941321613077338,0.5008196728867955
logreg,spring-boot,1,0.40789473684210525,0.9393939393939394,0.5688073394495413,0.58,426,33,0.07746478873239436,0.9666897987508675,0.654498921994132
logreg,spring-boot,2,0.36363636363636365,1.0,0.5333333333333333,0.56,425,32,0.07529411764705882,0.9684319338422392,0.6828207425108512
logreg,spring-boot,3,0.36363636363636365,1.0,0.5333333333333333,0.6,425,32,0.07529411764705882,0.9693861323155216,0.6693800565352102
logreg,spring-boot,4,0.46774193548387094,0.8787878787878788,0.6105263157894737,0.56,425,33,0.07764705882352942,0.925556586270872,0.6508705787543023
logreg,wildfly,0,0.09523809523809523,0.4,0.15384615384615385,0.04,248,5,0.020161290322580645,0.757201646090535,0.11194836399395135
logreg,wildfly,1,0.12121212121212122,1.0,0.21621621621621623,0.08,247,4,0.016194331983805668,0.9753086419753085,0.6884615384615385
logreg,wildfly,2,0.047619047619047616,0.25,0.08,0.06,247,4,0.016194331983805668,0.7613168724279835,0.09299450549450548
logreg,wildfly,3,0.11363636363636363,1.0,0.20408163265306123,0.1,247,5,0.020242914979757085,0.9611570247933884,0.25635706914344686
logreg,wildfly,4,0.10810810810810811,0.8,0.19047619047619047,0.08,247,5,0.020242914979757085,0.9305785123966942,0.4342857142857143
logreg,wro4j,0,0.06666666666666667,0.6666666666666666,0.12121212121212122,0.04,229,3,0.013100436681222707,0.831858407079646,0.06770876182640889
logreg,wro4j,1,0.02702702702702703,0.3333333333333333,0.05,0.02,229,3,0.013100436681222707,0.8126843657817109,0.1365079365079365
logreg,wro4j,2,0.05555555555555555,0.6666666666666666,0.10256410256410256,0.04,229,3,0.013100436681222707,0.6858407079646017,0.3775241439859526
logreg,wro4j,3,0.024390243902439025,0.3333333333333333,0.045454545454545456,0.02,229,3,0.013100436681222707,0.6533923303834808,0.07077574468878817
logreg,wro4j,4,0.029411764705882353,0.25,0.05263157894736842,0.02,229,4,0.017467248908296942,0.35444444444444445,0.053027023293735556
random_forest,activiti,0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.1,409,6,0.014669926650366748,0.9257650951199339,0.22007291584406014
random_forest,activiti,1,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.08,409,6,0.014669926650366748,0.8709677419354839,0.12123878536922014
random_forest,activiti,2,0.0,0.0,0.0,0.06,409,7,0.017114914425427872,0.8649609097370291,0.16013446457954292
random_forest,activiti,3,0.3333333333333333,0.14285714285714285,0.2,0.1,409,7,0.017114914425427872,0.748045486851457,0.30208885510194294
random_forest,activiti,4,0.0,0.0,0.0,0.1,408,6,0.014705882352941176,0.90650912106136,0.24567964654581953
random_forest,alluxio,0,1.0,1.0,1.0,0.6052631578947368,38,23,0.6052631578947368,1.0,1.0
random_forest,alluxio,1,1.0,1.0,1.0,0.631578947368421,38,24,0.631578947368421,1.0,1.0
random_forest,alluxio,2,1.0,1.0,1.0,0.6216216216216216,37,23,0.6216216216216216,1.0,1.0
random_forest,alluxio,3,1.0,1.0,1.0,0.6216216216216216,37,23,0.6216216216216216,1.0,1.0
random_forest,alluxio,4,1.0,1.0,1.0,0.6216216216216216,37,23,0.6216216216216216,1.0,1.0
random_forest,ambari,0,0.7692307692307693,1.0,0.8695652173913043,0.2,65,10,0.15384615384615385,0.9872727272727273,0.9326515151515151
random_forest,ambari,1,0.9,0.9,0.9,0.2,65,10,0.15384615384615385,0.9927272727272728,0.9714285714285714
random_forest,ambari,2,1.0,0.9090909090909091,0.9523809523809523,0.22,65,11,0.16923076923076924,0.9671717171717171,0.9413489736070381
random_forest,ambari,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.22,65,11,0.16923076923076924,0.9932659932659933,0.9708624708624709
random_forest,ambari,4,1.0,1.0,1.0,0.2,64,10,0.15625,1.0,1.0
random_forest,hbase,0,0.8,0.9655172413793104,0.875,0.56,87,29,0.3333333333333333,0.9289536266349583,0.8752103583478325
random_forest,hbase,1,0.8787878787878788,1.0,0.9354838709677419,0.58,86,29,0.3372093023255814,0.9845735027223231,0.9654232315302975
random_forest,hbase,2,0.8709677419354839,0.9310344827586207,0.9,0.56,86,29,0.3372093023255814,0.9473684210526316,0.8919451720635876
random_forest,hbase,3,0.9354838709677419,1.0,0.9666666666666667,0.58,86,29,0.3372093023255814,0.985178463399879,0.9650149437192679
random_forest,hbase,4,0.78125,0.8620689655172413,0.819672131147541,0.58,86,29,0.3372093023255814,0.9461584996975196,0.8948905685115379
