model,project,precision,recall,f1,p_at_50,n,n_flaky,roc_auc,avg_precision
random_forest,okhttp,0.0,0.0,0.0,0.12,810,100,0.49002816901408447,0.12788871984400527
random_forest,orbit,0.0,0.0,0.0,0.14,86,7,0.7929475587703436,0.21016661909519052
random_forest,spring-boot,0.0,0.0,0.0,0.0,2127,163,0.5681578223982607,0.08756856852162562
random_forest,undertow,0.2,0.14285714285714285,0.16666666666666666,0.06,183,7,0.6785714285714286,0.10152782434205641
random_forest,wildfly,0.0,0.0,0.0,0.02,1236,23,0.8127352234847127,0.05123124389422361
random_forest,wro4j,0.03125,0.0625,0.041666666666666664,0.02,1145,16,0.5642161204605847,0.019349496684407316
random_forest,zxing,0.0,0.0,0.0,0.0,345,2,0.3389212827988338,0.006395054221141177
xgboost,achilles,0.0,0.0,0.0,0.0,1317,4,0.7490479817212491,0.007840126765328087
xgboost,activiti,0.009244992295839754,0.1875,0.01762114537444934,0.0,2044,32,0.41827162027833,0.01297834143047976
xgboost,alluxio,1.0,0.13793103448275862,0.24242424242424243,1.0,187,116,0.9519184069936862,0.9694365510266546
xgboost,ambari,0.4069767441860465,0.6730769230769231,0.5072463768115942,0.3,324,52,0.8327205882352942,0.3841807866190595
xgboost,assertj-core,0.0,0.0,0.0,0.0,6261,1,0.31549520766773165,0.0002333177788147457
xgboost,commons-exec,0.0,0.0,0.0,0.02,55,1,0.9074074074074074,0.16666666666666666
xgboost,elastic-job-lite,0.0,0.0,0.0,0.02,558,3,0.8816816816816817,0.029739010989010987
xgboost,handlebars.java,0.0,0.0,0.0,0.0,427,1,0.551643192488263,0.005208333333333333
xgboost,hbase,0.625,0.06896551724137931,0.12422360248447205,0.64,431,145,0.6942367976850736,0.5331923074575589
xgboost,hector,0.5,0.030303030303030304,0.05714285714285714,0.3,142,33,0.6363636363636364,0.31235070541723575
xgboost,http-request,0.0,0.0,0.0,0.04,163,18,0.42279693486590036,0.09862745476160556
xgboost,httpcore,0.14285714285714285,0.13636363636363635,0.13953488372093023,0.22,712,22,0.8976943346508566,0.21204071554098927
xgboost,incubator-dubbo,0.11764705882352941,0.3157894736842105,0.17142857142857143,0.12,2176,19,0.7882048654320084,0.13818311543909603
xgboost,java-websocket,0.0,0.0,0.0,0.26,145,23,0.7255880256593015,0.25484415089103246
xgboost,jimfs,0.0,0.0,0.0,0.0,212,0,,
xgboost,logback,0.0,0.0,0.0,0.04,843,22,0.6636031447237294,0.04445753120564254
xgboost,ninja,0.0,0.0,0.0,0.02,307,1,0.9248366013071895,0.041666666666666664
xgboost,okhttp,0.2,0.01,0.01904761904761905,0.12,810,100,0.5182042253521126,0.1375129490660929
xgboost,orbit,0.0,0.0,0.0,0.12,86,7,0.7070524412296564,0.1442221892221892
xgboost,spring-boot,0.012269938650306749,0.012269938650306749,0.012269938650306749,0.02,2127,163,0.6873758324691065,0.11348112629686756
xgboost,undertow,0.1111111111111111,0.2857142857142857,0.16,0.06,183,7,0.5146103896103896,0.08412276778574114
xgboost,wildfly,0.05263157894736842,0.13043478260869565,0.075,0.06,1236,23,0.683429513602638,0.03714871720246695
xgboost,wro4j,0.022222222222222223,0.125,0.03773584905660377,0.04,1145,16,0.6507418069087688,0.09277947049463932
xgboost,zxing,0.0,0.0,0.0,0.0,345,2,0.314868804664723,0.006608263032662773
vocab_xgboost,achilles,0.0,0.0,0.0,0.0,1317,4,0.6064356435643564,0.0065545502535289055
vocab_xgboost,activiti,0.04804804804804805,0.5,0.08767123287671233,0.12,2043,32,0.7743892963699652,0.06773841075529126
vocab_xgboost,alluxio,0.6176470588235294,0.1810344827586207,0.28,0.58,187,116,0.4864011656143759,0.5923089546292406
vocab_xgboost,ambari,0.375,0.11538461538461539,0.17647058823529413,0.38,324,52,0.83045814479638,0.39252124817148615
vocab_xgboost,assertj-core,0.0,0.0,0.0,0.0,6261,1,0.5929712460063898,0.00039231071008238524
vocab_xgboost,commons-exec,0.0,0.0,0.0,0.02,55,1,0.9074074074074074,0.16666666666666666
vocab_xgboost,elastic-job-lite,0.0,0.0,0.0,0.0,558,3,0.7075075075075075,0.011776845393227112
vocab_xgboost,handlebars.java,0.0,0.0,0.0,0.02,420,1,0.8902147971360381,0.02127659574468085
vocab_xgboost,hbase,0.37373737373737376,0.25517241379310346,0.30327868852459017,0.56,431,145,0.6238847359537014,0.46477552682531503
vocab_xgboost,hector,0.5,0.06060606060606061,0.10810810810810811,0.3,142,33,0.5721434528773979,0.33066972292483
vocab_xgboost,http-request,0.0,0.0,0.0,0.08,163,18,0.5327586206896552,0.11614250744464881
vocab_xgboost,httpcore,0.0,0.0,0.0,0.0,712,22,0.61034255599473,0.042591249101330275
vocab_xgboost,incubator-dubbo,0.1,0.21052631578947367,0.13559322033898305,0.08,2174,19,0.7180852362925876,0.11855634749018108
vocab_xgboost,java-websocket,1.0,0.8695652173913043,0.9302325581395349,0.44,145,23,0.9713114754098361,0.931598674347037
vocab_xgboost,jimfs,0.0,0.0,0.0,0.0,212,0,,
vocab_xgboost,logback,0.07317073170731707,0.13636363636363635,0.09523809523809523,0.08,805,22,0.719000348310693,0.0623175492405556
vocab_xgboost,ninja,0.0,0.0,0.0,0.02,307,1,0.9477124183006536,0.058823529411764705
vocab_xgboost,okhttp,0.2962962962962963,0.08,0.12598425196850394,0.24,810,100,0.6332816901408451,0.19093356434573472
vocab_xgboost,orbit,0.16216216216216217,0.8571428571428571,0.2727272727272727,0.14,86,7,0.864376130198915,0.3052721088435374
vocab_xgboost,spring-boot,0.046511627906976744,0.025,0.032520325203252036,0.06,2108,160,0.7888683906570841,0.227298874442519
vocab_xgboost,undertow,0.0,0.0,0.0,0.0,183,7,0.2386363636363636,0.027965990830453542
vocab_xgboost,wildfly,0.0,0.0,0.0,0.0,1023,23,0.709391304347826,0.039394723019574175
vocab_xgboost,wro4j,0.0,0.0,0.0,0.02,1135,16,0.6062053172475425,0.022836529538373014
vocab_xgboost,zxing,0.0,0.0,0.0,0.0,345,2,0.12099125364431484,0.004830093077050173
