model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,p_at_50_mean,p_at_50_std
logreg,0.11,0.009,0.613,0.047,0.187,0.015,0.816,0.01,0.191,0.02,0.356,0.104
majority,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.036,0.0,0.0,0.0
random_forest,0.781,0.033,0.691,0.015,0.733,0.017,0.97,0.005,0.783,0.02,0.96,0.032
vocab_xgboost,0.536,0.032,0.785,0.037,0.637,0.029,0.964,0.006,0.75,0.032,0.988,0.018
xgboost,0.637,0.019,0.746,0.018,0.687,0.009,0.963,0.009,0.776,0.02,0.98,0.035
