model,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision,protocol,variant,project
xgboost,,0.0,0.0,0.0,0.12,86,7,0.08139534883720931,0.7070524412296564,0.1442221892221892,cross_project,all,orbit
xgboost,,0.012269938650306749,0.012269938650306749,0.012269938650306749,0.02,2127,163,0.076633756464504,0.6873758324691065,0.11348112629686756,cross_project,all,spring-boot
xgboost,,0.1111111111111111,0.2857142857142857,0.16,0.06,183,7,0.03825136612021858,0.5146103896103896,0.08412276778574114,cross_project,all,undertow
xgboost,,0.05263157894736842,0.13043478260869565,0.075,0.06,1236,23,0.0186084142394822,0.683429513602638,0.03714871720246695,cross_project,all,wildfly
xgboost,,0.022222222222222223,0.125,0.03773584905660377,0.04,1145,16,0.013973799126637555,0.6507418069087688,0.09277947049463932,cross_project,all,wro4j
xgboost,,0.0,0.0,0.0,0.0,345,2,0.005797101449275362,0.314868804664723,0.006608263032662773,cross_project,all,zxing
xgboost,0.0,0.1564625850340136,0.5644171779141104,0.24500665778961384,0.42,4448,163,0.03664568345323741,0.7589937791267871,0.22490514196352163,mixed_project,static_only,
xgboost,1.0,0.1315028901734104,0.5617283950617284,0.21311475409836064,0.4,4447,162,0.036429053294355744,0.7309859256378122,0.21077170435362733,mixed_project,static_only,
xgboost,2.0,0.13210702341137123,0.4876543209876543,0.20789473684210527,0.36,4447,162,0.036429053294355744,0.7329501418960773,0.1757685309388139,mixed_project,static_only,
xgboost,3.0,0.14772727272727273,0.5617283950617284,0.23393316195372751,0.6,4447,162,0.036429053294355744,0.773998444185142,0.25275491887873536,mixed_project,static_only,
xgboost,4.0,0.12481644640234948,0.5246913580246914,0.20166073546856464,0.38,4447,162,0.036429053294355744,0.7152793984182548,0.1817906399838075,mixed_project,static_only,
xgboost,,0.00847457627118644,0.5,0.016666666666666666,0.0,1317,4,0.0030372057706909645,0.6037699923838538,0.007697453169779435,cross_project,static_only,achilles
xgboost,,0.03110419906687403,0.625,0.05925925925925926,0.02,2044,32,0.015655577299412915,0.6721701043737575,0.030007467686121836,cross_project,static_only,activiti
xgboost,,0.8636363636363636,0.16379310344827586,0.2753623188405797,0.66,187,116,0.6203208556149733,0.5070422535211268,0.6919691180527129,cross_project,static_only,alluxio
xgboost,,0.29333333333333333,0.4230769230769231,0.3464566929133858,0.3,324,52,0.16049382716049382,0.5866445135746606,0.2744952408008463,cross_project,static_only,ambari
xgboost,,0.0,0.0,0.0,0.0,6261,1,0.00015971889474524837,0.2022364217252396,0.00019857029388403494,cross_project,static_only,assertj-core
xgboost,,0.0,0.0,0.0,0.02,55,1,0.01818181818181818,0.11111111111111116,0.02040816326530612,cross_project,static_only,commons-exec
xgboost,,0.0,0.0,0.0,0.0,558,3,0.005376344086021506,0.16216216216216214,0.00474389515132166,cross_project,static_only,elastic-job-lite
xgboost,,0.0,0.0,0.0,0.0,427,1,0.00234192037470726,0.08685446009389675,0.002564102564102564,cross_project,static_only,handlebars.java
